step,wall_time,value
2029,1749378943.134205,0.4609375
2031,1749378943.233413,0.578125
2036,1749378943.4903502,0.8828125
2038,1749378943.590288,0.921875
2039,1749378943.6397305,0.9609375
2047,1749378944.0517123,1.0
2050,1749378944.2011416,0.9921875
2051,1749378944.2513096,0.984375
2053,1749378944.359561,0.984375
2055,1749378944.4615743,0.9921875
2060,1749378944.7281299,1.0
2064,1749378944.9324398,1.0
2077,1749378945.5984235,0.75
2082,1749378945.8504581,0.8984375
2087,1749378946.1016543,0.9453125
2090,1749378946.249654,1.0
2091,1749378946.2982576,0.96875
2096,1749378946.5522878,0.9921875
2097,1749378946.6026723,0.9921875
2104,1749378946.953044,1.0
2117,1749378947.6135218,0.03125
2120,1749378947.7669532,0.09375
2123,1749378947.9228077,0.3515625
2132,1749378948.3759377,0.8671875
2153,1749378949.4395852,1.0
2158,1749378949.6909962,0.2421875
2169,1749378950.2477174,0.8515625
2177,1749378950.6420538,0.9609375
2178,1749378950.6916173,0.9375
2183,1749378950.946653,0.9609375
2185,1749378951.044451,0.953125
2189,1749378951.2491872,1.0
2217,1749378952.665918,0.9453125
2220,1749378952.8212514,0.9765625
2227,1749378953.2042186,0.984375
2234,1749378953.5569353,0.9921875
2237,1749378953.704845,1.0
2241,1749378953.9109695,0.9921875
2243,1749378954.0081308,0.9921875
2247,1749378954.2136414,1.0
2258,1749378954.7566717,0.1953125
2275,1749378955.5985746,0.984375
2283,1749378955.9997768,1.0
2286,1749378956.1527634,1.0
2287,1749378956.2033262,1.0
2288,1749378956.2517273,1.0
2302,1749378956.9644363,0.203125
2311,1749378957.4107542,0.8671875
2313,1749378957.5138342,0.890625
2331,1749378958.4268715,0.9921875
2332,1749378958.4763467,0.9921875
2333,1749378958.525345,0.984375
2335,1749378958.6257823,0.984375
2344,1749378959.0810106,1.0
2348,1749378959.2850296,0.6953125
2366,1749378960.19932,0.9921875
2378,1749378960.809059,1.0
2380,1749378960.910584,1.0
2383,1749378961.0614052,1.0
2388,1749378961.3192897,1.0
2390,1749378961.4265077,1.0
2391,1749378961.4761407,0.9375
2401,1749378961.992286,0.96875
2404,1749378962.1519268,0.9453125
2406,1749378962.2528656,0.984375
2409,1749378962.4068499,0.96875
2412,1749378962.5588896,0.9765625
2415,1749378962.7177417,1.0
2418,1749378962.8949041,0.984375
2422,1749378963.0978293,0.984375
2424,1749378963.1982896,0.9609375
2425,1749378963.2469058,1.0
2431,1749378963.550674,1.0
2433,1749378963.6549642,0.9921875
2448,1749378964.397508,0.3359375
2450,1749378964.5027688,0.3828125
2451,1749378964.5539644,0.5234375
2454,1749378964.7061615,0.7578125
2459,1749378964.9674792,0.90625
2464,1749378965.222125,0.9609375
2467,1749378965.3764186,0.9609375
2470,1749378965.5282228,0.9921875
2474,1749378965.736776,0.984375
2475,1749378965.7856314,1.0
2478,1749378965.9385786,1.0
2486,1749378966.3417852,0.984375
2487,1749378966.3928697,1.0
2488,1749378966.447275,1.0
2492,1749378966.650387,0.1171875
2495,1749378966.8079257,0.2734375
2496,1749378966.8576844,0.359375
2502,1749378967.2222521,0.7890625
2512,1749378967.7353942,0.953125
2514,1749378967.8417275,0.9375
2516,1749378967.9434156,1.0
2519,1749378968.1029975,0.9921875
2529,1749378968.6200566,1.0
2533,1749378968.8273597,1.0
2542,1749378969.2844,0.796875
2547,1749378969.539257,0.90625
2549,1749378969.6437047,0.8515625
2555,1749378969.9491699,0.9609375
2556,1749378970.000024,0.9453125
2559,1749378970.1534085,1.0
2564,1749378970.409841,0.9921875
2570,1749378970.7245038,0.9921875
2576,1749378971.0283525,1.0
2580,1749378971.236853,0.9921875
2584,1749378971.4478247,0.1328125
2585,1749378971.4986076,0.1953125
2588,1749378971.6639903,0.2734375
2592,1749378971.8743415,0.4375
2598,1749378972.178649,0.6875
2601,1749378972.3263505,0.796875
2603,1749378972.4315464,0.8828125
2613,1749378972.9487011,0.984375
2625,1749378973.5523903,1.0
2628,1749378973.708763,0.71875
2630,1749378973.8065472,0.703125
2646,1749378974.6366313,0.953125
2650,1749378974.8337927,0.9375
2651,1749378974.882475,0.984375
2654,1749378975.0375822,0.953125
2681,1749378976.4131353,0.8125
2683,1749378976.5188758,0.9375
2684,1749378976.5686154,0.8828125
2689,1749378976.823311,0.9609375
2695,1749378977.1397803,0.9609375
